run_id,evidence_balance,count,rate
40276_full_no_llm_policy_v2_complete_20260429,conflict_positive,18701,0.464321
40276_full_no_llm_policy_v2_complete_20260429,strong_negative,8107,0.201286
40276_full_no_llm_policy_v2_complete_20260429,low_confidence_positive,6305,0.156545
40276_full_no_llm_policy_v2_complete_20260429,strong_positive,3794,0.094200
40276_full_no_llm_policy_v2_complete_20260429,positive,1665,0.041340
40276_full_no_llm_policy_v2_complete_20260429,conflict_negative,1469,0.036473
40276_full_no_llm_policy_v2_complete_20260429,hard_negative,184,0.004568
40276_full_no_llm_policy_v2_complete_20260429,negative,47,0.001167
40276_full_no_llm_policy_v2_complete_20260429,low_confidence_negative,4,0.000099
